\xEF\xBB\xBF問題文,選択肢1,選択肢2,正解,解説,カテゴリ
( ) I in the right room?,Am,Are,Am,主語が I の be 動詞の疑問文は Am で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) I late?,Am,Are,Am,主語が I の be 動詞の疑問文は Am で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) I on time?,Am,Are,Am,主語が I の be 動詞の疑問文は Am で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) I right?,Am,Are,Am,主語が I の be 動詞の疑問文は Am で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) I your friend?,Am,Are,Am,主語が I の be 動詞の疑問文は Am で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you a student?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you a student?,Are,Do,Are,be 動詞を使う文なので Do ではなく Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you busy?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you busy?,Are,Do,Are,be 動詞を使う文なので Do ではなく Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you from China?,Are,Do,Are,be 動詞を使う文なので Do ではなく Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you from Osaka?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you good at English?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you happy?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you in the classroom?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you in the tennis club?,Are,Do,Are,be 動詞を使う文なので Do ではなく Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you on the team?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you ready?,Are,Is,Are,主語が you の be 動詞の疑問文は Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
( ) you ready?,Are,Do,Are,be 動詞を使う文なので Do ではなく Are で始める。,be動詞(主語がhe,sheなどの時も含む),習った
Are you a student? No, I ( ).,am not,are not,am not,Are you ...? への自分の否定の答えは No, I am not。,be動詞(主語がhe,sheなどの時も含む),習った
Are you a student? Yes, I ( ).,am,are,am,Are you ...? への自分の答えは Yes, I am。,be動詞(主語がhe,sheなどの時も含む),習った
Are you busy? No, I ( ).,am not,are not,am not,Are you ...? への自分の否定の答えは No, I am not。,be動詞(主語がhe,sheなどの時も含む),習った
Are you busy? Yes, I ( ).,am,are,am,Are you ...? への自分の答えは Yes, I am。,be動詞(主語がhe,sheなどの時も含む),習った
Are you from Osaka? No, I ( ).,am not,are not,am not,Are you ...? への自分の否定の答えは No, I am not。,be動詞(主語がhe,sheなどの時も含む),習った
Are you from Osaka? Yes, I ( ).,am,are,am,Are you ...? への自分の答えは Yes, I am。,be動詞(主語がhe,sheなどの時も含む),習った
Are you happy? No, I ( ).,am not,are not,am not,Are you ...? への自分の否定の答えは No, I am not。,be動詞(主語がhe,sheなどの時も含む),習った
Are you happy? Yes, I ( ).,am,are,am,Are you ...? への自分の答えは Yes, I am。,be動詞(主語がhe,sheなどの時も含む),習った
Are you ready? No, I ( ).,am not,are not,am not,Are you ...? への自分の否定の答えは No, I am not。,be動詞(主語がhe,sheなどの時も含む),習った
Are you ready? Yes, I ( ).,am,are,am,Are you ...? への自分の答えは Yes, I am。,be動詞(主語がhe,sheなどの時も含む),習った
I ( ) a student.,am,are,am,主語が I のとき be 動詞は am。student の前で I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) a teacher.,am not,are not,am not,I の否定文は am not。,be動詞(主語がhe,sheなどの時も含む),習った
I ( ) at home.,am not,are not,am not,I の否定文は am not。,be動詞(主語がhe,sheなどの時も含む),習った
I ( ) busy.,am not,are not,am not,I の否定文は am not。,be動詞(主語がhe,sheなどの時も含む),習った
I ( ) from Osaka.,am,are,am,主語が I のとき be 動詞は am。出身を表す文で I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) from Tokyo.,am not,are not,am not,I の否定文は am not。,be動詞(主語がhe,sheなどの時も含む),習った
I ( ) good at English.,is,am,am,主語が I のとき be 動詞は am。I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) happy.,is,am,am,主語が I のとき be 動詞は am。状態を表す文で I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) in the classroom.,is,am,am,主語が I のとき be 動詞は am。場所を表す文で I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) late.,am not,are not,am not,I の否定文は am not。,be動詞(主語がhe,sheなどの時も含む),習った
I ( ) not late.,is,am,am,主語が I のとき be 動詞は am。I の否定文は am not。,be動詞(主語がIやyouの時),習った
I ( ) not tired.,am,are,am,主語が I のとき be 動詞は am。I の否定文は am not。,be動詞(主語がIやyouの時),習った
I ( ) on the soccer team.,am,are,am,主語が I のとき be 動詞は am。所属を表す文で I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) ready.,am,are,am,主語が I のとき be 動詞は am。状態を表す文で I が主語なので am。,be動詞(主語がIやyouの時),習った
I ( ) thirteen years old.,is,am,am,主語が I のとき be 動詞は am。年齢を表す文で I が主語なので am。,be動詞(主語がIやyouの時),習った
You ( ) a baseball fan.,aren't,isn't,aren't,主語が you の否定文は are not。短縮形は aren't。,be動詞(主語がhe,sheなどの時も含む),習った
You ( ) a student.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) busy.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) from Osaka.,aren't,isn't,aren't,主語が you の否定文は are not。短縮形は aren't。,be動詞(主語がhe,sheなどの時も含む),習った
You ( ) from Tokyo.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) good at math.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) happy.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) happy.,aren't,isn't,aren't,主語が you の否定文は are not。短縮形は aren't。,be動詞(主語がhe,sheなどの時も含む),習った
You ( ) in class.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) in the club.,aren't,isn't,aren't,主語が you の否定文は are not。短縮形は aren't。,be動詞(主語がhe,sheなどの時も含む),習った
You ( ) late.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) my friend.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) on the team.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) ready.,are,is,are,主語が you のとき be 動詞は are。,be動詞(主語がIやyouの時),習った
You ( ) tired.,aren't,isn't,aren't,主語が you の否定文は are not。短縮形は aren't。,be動詞(主語がhe,sheなどの時も含む),習った
He ( ) new.,is,are,is,彼は単数の主語なので be 動詞は is。,be動詞(主語がIやyou以外の時),これから
She ( ) old.,is,are,is,彼女は単数の主語なので be 動詞は is。,be動詞(主語がIやyou以外の時),これから
Tom ( ) big.,is,are,is,Tom は単数の主語なので be 動詞は is。,be動詞(主語がIやyou以外の時),これから
